distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,cost,co2
12.0,4.2,30,21.5,13,E10,0,0,0,7.6318368,9.845472000000001
11.2,5.5,38,21.5,15,E10,0,0,0,9.994072000000001,12.89288
7.8,4.4,43,21.5,11,E10,0,0,0,7.995257600000001,10.314304000000002
12.3,5.0,40,21.5,6,E10,0,0,0,9.08552,11.7208
11.9,5.3,30,21.5,9,E10,0,0,0,9.630651199999999,12.424047999999999
12.4,5.6,42,21.5,4,E10,0,0,0,10.1757824,13.127296
11.8,4.6,38,21.5,0,E10,0,0,0,8.358678399999999,10.783135999999999
12.3,5.9,59,21.5,10,E10,0,0,0,10.720913600000001,13.830544000000002
12.4,4.7,46,21.5,11,E10,0,0,0,8.5403888,11.017552
11.8,5.1,32,21.5,3,E10,0,0,0,9.267230399999999,11.955216
11.8,4.7,40,21.5,4,E10,0,0,0,8.5403888,11.017552
11.8,4.7,36,21.5,1,E10,0,0,0,8.5403888,11.017552
12.3,5.9,62,21.5,6,E10,0,0,0,10.720913600000001,13.830544000000002
12.4,4.1,57,21.5,9,E10,0,0,0,7.450126399999999,9.611056
12.3,5.3,51,21.5,11,E10,0,0,0,9.630651199999999,12.424047999999999
11.8,5.0,29,21.5,10,E10,0,0,0,9.08552,11.7208
12.3,5.6,58,21.5,8,E10,0,0,0,10.1757824,13.127296
12.1,5.7,36,21.5,8,E10,0,0,0,10.357492800000001,13.361712
11.8,4.8,23,21.5,9,E10,0,0,0,8.7220992,11.251968
12.4,4.0,55,21.5,7,E10,1,1,0,7.268416,9.37664
4.5,5.0,29,21.5,7,E10,1,0,0,9.08552,11.7208
11.7,4.6,37,21.5,6,E10,0,0,0,8.358678399999999,10.783135999999999
10.2,4.3,44,21.5,7,E10,0,0,0,7.8135471999999995,10.079888
5.4,3.3,32,21.5,7,SP98,0,0,0,6.2754053999999995,7.893599999999999
11.8,4.9,25,21.5,11,SP98,0,0,0,9.3180262,11.7208
11.8,5.1,29,21.5,5,SP98,0,1,0,9.6983538,12.1992
10.6,4.9,63,21.5,6,SP98,0,0,0,9.3180262,11.7208
11.6,4.2,61,21.5,7,SP98,0,0,0,7.9868796,10.0464
11.8,4.9,24,21.5,7,SP98,0,0,0,9.3180262,11.7208
12.3,6.2,61,21.5,8,SP98,0,0,0,11.7901556,14.8304
12.4,4.2,57,21.5,8,SP98,0,0,0,7.9868796,10.0464
12.3,5.7,52,21.5,8,SP98,0,1,0,10.8393366,13.6344
9.8,5.8,24,21.5,6,SP98,0,0,0,11.0295004,13.8736
6.8,5.3,26,21.5,6,SP98,0,0,0,10.078681399999999,12.677599999999998
12.4,5.4,24,21.5,7,SP98,0,0,0,10.268845200000001,12.9168
12.4,4.7,57,21.5,8,SP98,0,0,0,8.937698600000001,11.2424
11.8,4.6,41,21.5,6,SP98,0,0,0,8.747534799999999,11.003199999999998
12.3,5.4,55,21.5,8,SP98,0,0,0,10.268845200000001,12.9168
11.8,4.5,37,21.5,4,SP98,1,0,0,8.557371,10.764
12.3,5.2,55,21.5,12,SP98,0,0,0,9.8885176,12.4384
2.0,6.2,20,21.5,10,SP98,0,0,0,11.7901556,14.8304
9.7,3.9,42,21.5,8,SP98,0,0,0,7.416388199999999,9.3288
11.6,5.0,25,21.5,6,SP98,0,0,0,9.508189999999999,11.959999999999999
11.8,4.5,39,21.5,6,SP98,0,0,0,8.557371,10.764
12.4,4.7,56,21.5,7,SP98,0,0,0,8.937698600000001,11.2424
5.2,4.5,39,20.0,10,SP98,0,0,0,8.557371,10.764
10.5,3.6,42,20.0,10,SP98,0,0,0,6.8458968,8.6112
12.3,5.2,57,20.0,10,SP98,0,0,0,9.8885176,12.4384
11.8,4.9,25,20.0,11,SP98,0,0,0,9.3180262,11.7208
12.3,6.2,58,20.0,11,SP98,0,1,0,11.7901556,14.8304
11.8,4.3,37,20.0,6,SP98,0,0,0,8.177043399999999,10.285599999999999
12.2,5.8,60,20.0,11,SP98,0,0,0,11.0295004,13.8736
12.4,4.7,43,21.5,10,SP98,0,0,0,8.937698600000001,11.2424
11.8,5.9,21,20.0,9,SP98,1,1,0,11.2196642,14.1128
11.8,5.3,52,21.5,11,SP98,0,0,0,10.078681399999999,12.677599999999998
6.4,4.4,37,21.5,10,SP98,0,0,0,8.367207200000001,10.5248
5.3,4.1,34,21.5,9,SP98,0,0,0,7.796715799999999,9.807199999999998
12.4,5.4,18,21.0,11,SP98,1,1,0,10.268845200000001,12.9168
11.8,4.7,36,21.0,4,SP98,0,0,0,8.937698600000001,11.2424
12.4,5.7,37,21.0,7,SP98,0,0,0,10.8393366,13.6344
4.9,6.3,27,20.5,3,SP98,0,0,0,11.980319399999999,15.0696
11.8,5.1,26,23.0,4,SP98,0,1,0,9.6983538,12.1992
12.4,4.6,38,23.0,1,SP98,0,1,0,8.747534799999999,11.003199999999998
11.8,5.1,43,23.0,0,SP98,0,0,0,9.6983538,12.1992
12.2,5.8,58,23.0,2,SP98,0,0,0,11.0295004,13.8736
11.8,4.6,38,23.0,0,SP98,0,1,0,8.747534799999999,11.003199999999998
12.2,6.3,57,23.0,0,SP98,0,1,0,11.980319399999999,15.0696
6.8,4.3,46,24.0,2,SP98,0,0,0,8.177043399999999,10.285599999999999
11.8,4.3,44,21.5,-3,SP98,0,0,0,8.177043399999999,10.285599999999999
11.8,4.5,43,21.5,3,SP98,0,0,0,8.557371,10.764
4.2,6.0,26,21.5,5,SP98,0,0,0,11.409828,14.352
11.8,4.5,38,21.5,5,SP98,0,1,0,8.557371,10.764
12.3,6.1,61,21.5,10,SP98,0,1,0,11.5999918,14.591199999999999
11.8,4.3,40,21.5,10,E10,0,1,0,7.8135471999999995,10.079888
12.3,5.4,58,21.5,13,E10,0,0,0,9.812361600000001,12.658464
12.4,4.3,49,21.5,17,E10,0,0,0,7.8135471999999995,10.079888
7.0,5.2,25,21.5,17,E10,0,0,0,9.4489408,12.189632000000001
11.8,4.1,37,21.5,10,E10,0,0,0,7.450126399999999,9.611056
9.9,5.0,28,21.5,9,E10,0,0,0,9.08552,11.7208
11.8,4.3,37,21.5,7,E10,0,0,0,7.8135471999999995,10.079888
11.8,4.2,34,21.5,9,E10,0,1,0,7.6318368,9.845472000000001
6.1,6.3,26,21.5,5,E10,0,0,0,11.4477552,14.768208
12.3,6.1,40,21.5,6,E10,0,0,0,11.0843344,14.299375999999999
11.8,4.9,44,21.5,0,E10,0,0,0,8.9038096,11.486384000000001
12.4,5.3,38,21.0,-5,E10,0,0,0,9.630651199999999,12.424047999999999
12.3,4.9,50,22.5,0,E10,0,0,0,8.9038096,11.486384000000001
12.4,5.2,51,22.5,1,E10,0,0,0,9.4489408,12.189632000000001
12.3,5.1,55,22.5,8,E10,0,0,0,9.267230399999999,11.955216
12.3,4.8,41,22.5,7,E10,0,0,0,8.7220992,11.251968
12.1,4.2,43,22.0,4,SP98,0,0,0,7.9868796,10.0464
11.8,4.5,41,21.5,13,SP98,0,0,0,8.557371,10.764
6.1,5.6,24,21.5,13,SP98,0,0,0,10.649172799999999,13.395199999999999
8.7,5.3,28,22.5,12,SP98,1,1,0,10.078681399999999,12.677599999999998
7.9,4.7,31,22.5,12,SP98,1,0,0,8.937698600000001,11.2424
4.9,6.3,26,20.0,10,SP98,0,0,0,11.980319399999999,15.0696
6.4,4.7,33,20.0,8,SP98,0,0,0,8.937698600000001,11.2424
12.1,4.4,33,22.5,5,SP98,0,0,0,8.367207200000001,10.5248
12.1,5.0,32,22.5,9,SP98,0,0,0,9.508189999999999,11.959999999999999
12.3,5.2,55,22.5,10,SP98,0,0,0,9.8885176,12.4384
11.8,4.5,39,22.5,3,SP98,0,0,0,8.557371,10.764
11.8,4.8,42,22.5,2,SP98,0,0,0,9.1278624,11.481599999999998
11.8,5.0,43,22.5,1,SP98,0,0,0,9.508189999999999,11.959999999999999
5.2,4.6,38,22.5,8,SP98,0,0,0,8.747534799999999,11.003199999999998
12.4,4.8,38,22.5,1,E10,0,0,0,8.7220992,11.251968
11.8,4.6,40,22.5,2,E10,0,0,0,8.358678399999999,10.783135999999999
12.4,4.6,55,22.5,11,E10,0,0,1,8.358678399999999,10.783135999999999
9.2,5.7,33,22.5,8,E10,0,1,0,10.357492800000001,13.361712
12.3,5.8,54,22.5,10,E10,0,1,0,10.5392032,13.596128
11.8,6.1,16,22.5,6,E10,0,1,0,11.0843344,14.299375999999999
12.3,5.0,42,22.5,10,E10,0,0,0,9.08552,11.7208
12.3,5.2,57,22.5,15,E10,0,0,1,9.4489408,12.189632000000001
11.8,4.4,42,22.5,8,E10,0,0,0,7.995257600000001,10.314304000000002
11.8,4.4,33,22.5,8,E10,0,0,0,7.995257600000001,10.314304000000002
7.4,5.0,31,22.5,12,E10,0,0,0,9.08552,11.7208
12.4,4.7,55,22.5,14,E10,0,0,1,8.5403888,11.017552
2.0,6.0,22,22.5,14,E10,0,0,0,10.902624,14.06496
11.8,4.5,28,22.5,12,E10,0,0,0,8.176968,10.54872
4.1,5.4,24,22.5,13,E10,0,0,0,9.812361600000001,12.658464
4.2,5.6,29,22.0,17,E10,0,0,0,10.1757824,13.127296
4.2,3.9,29,22.0,18,E10,0,0,1,7.0867056,9.142224
4.2,5.6,32,22.0,18,E10,0,0,0,10.1757824,13.127296
6.7,5.0,30,22.0,17,SP98,0,0,0,9.508189999999999,11.959999999999999
7.4,4.1,25,22.0,18,SP98,0,0,1,7.796715799999999,9.807199999999998
6.6,5.6,43,22.0,16,SP98,0,0,0,10.649172799999999,13.395199999999999
8.3,4.9,26,22.0,23,SP98,0,0,0,9.3180262,11.7208
11.9,5.3,34,22.0,13,SP98,0,0,0,10.078681399999999,12.677599999999998
10.1,4.2,35,22.0,16,SP98,0,0,0,7.9868796,10.0464
10.8,4.7,48,22.0,17,SP98,0,0,1,8.937698600000001,11.2424
11.3,4.3,38,22.0,17,SP98,0,0,0,8.177043399999999,10.285599999999999
11.5,5.3,53,22.0,15,SP98,0,0,0,10.078681399999999,12.677599999999998
4.8,4.7,26,25.0,18,E10,0,0,0,8.5403888,11.017552
4.5,5.2,23,22.0,23,SP98,0,0,1,9.8885176,12.4384
6.1,5.0,35,24.5,18,SP98,0,0,0,9.508189999999999,11.959999999999999
6.1,5.0,33,22.0,24,SP98,0,0,1,9.508189999999999,11.959999999999999
6.0,4.8,27,22.0,17,SP98,0,0,0,9.1278624,11.481599999999998
11.9,3.7,33,25.0,19,SP98,0,0,0,7.0360606,8.8504
8.3,5.0,52,24.5,27,SP98,0,0,0,9.508189999999999,11.959999999999999
5.5,3.7,33,24.5,28,SP98,0,0,1,7.0360606,8.8504
