distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,t_cost,b_cost,kg_co2,kg_co2_km
28,5,26,21,12,E10,0,0,0,8,0,11,0
12,4,30,21,13,E10,0,0,0,7,0,9,0
11,5,38,21,15,E10,0,0,0,9,0,12,1
12,3,36,21,14,E10,0,0,0,6,0,9,0
18,4,46,21,15,E10,0,0,0,7,0,10,0
8,6,50,21,10,E10,0,0,0,10,1,15,1
7,4,43,21,11,E10,0,0,0,7,0,10,1
12,5,40,21,6,E10,0,0,0,8,0,11,0
4,6,26,21,4,E10,0,0,0,10,2,15,3
11,5,30,21,9,E10,0,0,0,9,0,12,1
12,5,42,21,4,E10,0,0,0,9,0,13,1
11,4,38,21,0,E10,0,0,0,7,0,10,0
12,5,59,21,10,E10,0,0,0,10,0,13,1
24,5,58,21,12,E10,0,0,0,8,0,11,0
12,4,46,21,11,E10,0,0,0,8,0,11,0
17,5,24,21,5,E10,0,0,0,8,0,11,0
33,5,36,21,3,E10,0,0,0,9,0,13,0
11,5,32,21,3,E10,0,0,0,8,0,11,1
25,4,39,21,8,E10,0,0,0,8,0,11,0
11,4,40,21,4,E10,0,0,0,8,0,11,0
25,5,32,21,3,E10,0,0,0,9,0,12,0
14,5,38,21,1,E10,0,0,0,10,0,13,0
17,5,37,21,1,E10,0,0,0,9,0,13,0
11,4,36,21,1,E10,0,0,0,8,0,11,0
12,5,62,21,6,E10,0,0,0,10,0,13,1
12,4,57,21,9,E10,0,0,0,7,0,9,0
18,5,21,22,2,E10,0,0,0,9,0,13,0
18,5,28,21,3,E10,0,0,0,9,0,13,0
18,5,29,21,1,E10,0,0,0,9,0,12,0
18,5,35,21,4,E10,0,0,0,9,0,13,0
12,5,51,21,11,E10,0,0,0,9,0,12,1
11,5,29,21,10,E10,0,0,0,8,0,11,0
12,5,58,21,8,E10,0,0,0,9,0,13,1
32,4,40,21,7,E10,0,0,0,8,0,11,0
19,4,36,21,7,E10,0,0,0,7,0,10,0
12,5,36,21,8,E10,0,0,0,9,0,13,1
20,5,37,21,4,E10,0,0,0,8,0,12,0
4,7,26,21,6,E10,0,0,0,12,2,17,3
11,4,23,21,9,E10,0,0,0,8,0,11,0
12,6,58,21,7,E10,0,0,0,11,0,15,1
12,4,55,21,7,E10,1,1,0,6,0,9,0
4,5,29,21,7,E10,1,0,0,8,1,11,2
11,4,37,21,6,E10,0,0,0,7,0,10,0
10,4,44,21,7,E10,0,0,0,7,0,10,0
5,3,32,21,7,SP98,0,0,0,5,1,7,1
2,9,21,21,4,SP98,0,0,0,17,8,23,11
14,5,32,21,7,SP98,0,0,0,9,0,12,0
16,4,25,21,8,SP98,0,0,0,8,0,11,0
11,4,25,21,11,SP98,0,0,0,8,0,11,0
27,4,36,21,10,SP98,0,0,0,8,0,11,0
11,5,29,21,5,SP98,0,1,0,9,0,12,1
10,4,63,21,6,SP98,0,0,0,8,0,11,1
11,4,61,21,7,SP98,0,0,0,7,0,10,0
13,6,46,21,6,SP98,0,1,0,10,0,14,1
6,6,28,21,8,SP98,0,0,0,11,1,15,2
153,4,82,21,3,SP98,0,1,0,8,0,11,0
11,4,24,21,7,SP98,0,0,0,8,0,11,0
12,6,61,21,8,SP98,0,0,0,11,0,14,1
12,4,57,21,8,SP98,0,0,0,7,0,10,0
12,5,52,21,8,SP98,0,1,0,10,0,13,1
2,7,18,21,9,SP98,1,1,0,14,4,18,6
2,12,23,21,9,SP98,1,1,0,21,10,29,13
9,5,24,21,6,SP98,0,0,0,10,1,13,1
6,5,26,21,6,SP98,0,0,0,9,1,12,1
12,5,24,21,7,SP98,0,0,0,9,0,12,1
12,4,57,21,8,SP98,0,0,0,8,0,11,0
11,4,41,21,6,SP98,0,0,0,8,0,11,0
12,5,55,21,8,SP98,0,0,0,9,0,12,1
14,4,40,21,8,SP98,0,0,0,7,0,10,0
11,4,37,21,4,SP98,1,0,0,8,0,10,0
12,5,55,21,12,SP98,0,0,0,9,0,12,1
2,6,20,21,10,SP98,0,0,0,11,5,14,7
13,5,29,21,6,SP98,0,0,0,9,0,12,0
9,3,42,21,8,SP98,0,0,0,7,0,9,0
11,5,25,21,6,SP98,0,0,0,9,0,11,1
14,5,38,21,7,SP98,0,0,0,9,0,12,0
11,4,39,21,6,SP98,0,0,0,8,0,10,0
24,5,50,21,9,SP98,0,0,0,9,0,12,0
12,4,56,21,7,SP98,0,0,0,8,0,11,0
34,4,28,20,4,SP98,0,0,0,7,0,9,0
14,5,36,20,6,SP98,0,0,0,9,0,12,0
5,4,39,20,10,SP98,0,0,0,8,1,10,2
10,3,42,20,10,SP98,0,0,0,6,0,8,0
12,5,57,20,10,SP98,0,0,0,9,0,12,1
11,4,25,20,11,SP98,0,0,0,8,0,11,0
12,6,58,20,11,SP98,0,1,0,11,0,14,1
13,4,51,20,11,SP98,0,1,0,7,0,10,0
13,5,45,20,11,SP98,0,1,0,9,0,11,0
12,5,32,20,11,SP98,0,0,0,9,0,12,0
13,5,22,20,8,SP98,0,0,0,10,0,13,0
11,4,37,20,6,SP98,0,0,0,7,0,10,0
12,5,60,20,11,SP98,0,0,0,10,0,13,1
12,4,51,20,13,SP98,0,0,0,7,0,9,0
12,4,43,21,10,SP98,0,0,0,8,0,11,0
11,5,21,20,9,SP98,1,1,0,10,0,14,1
11,5,52,21,11,SP98,0,0,0,9,0,12,1
12,4,57,20,11,SP98,0,0,0,7,0,10,0
15,5,33,21,9,SP98,0,0,0,9,0,12,0
12,5,35,21,9,SP98,0,0,0,10,0,13,1
6,4,37,21,10,SP98,0,0,0,7,1,10,1
5,4,34,21,9,SP98,0,0,0,7,1,9,1
26,5,71,21,8,SP98,1,1,0,10,0,13,0
18,5,62,21,9,SP98,0,1,0,9,0,11,0
4,6,25,21,12,SP98,0,1,0,12,2,16,3
12,5,18,21,11,SP98,1,1,0,9,0,12,1
22,5,45,20,7,SP98,0,0,0,9,0,12,0
162,5,75,23,1,SP98,0,0,0,9,0,13,0
4,6,26,21,1,SP98,0,0,0,11,2,15,3
11,4,36,21,4,SP98,0,0,0,8,0,11,0
16,5,56,21,7,SP98,0,0,0,9,0,12,0
12,5,37,21,7,SP98,0,0,0,10,0,13,1
15,5,25,21,7,SP98,0,0,0,9,0,12,0
5,8,21,23,5,SP98,0,0,0,15,3,20,4
22,4,66,20,7,SP98,0,0,0,8,0,11,0
31,4,42,20,7,SP98,0,0,0,8,0,11,0
4,6,27,20,3,SP98,0,0,0,11,2,15,3
11,5,26,23,4,SP98,0,1,0,9,0,12,1
22,6,42,23,4,SP98,0,1,0,10,0,14,0
12,4,38,23,1,SP98,0,1,0,8,0,11,0
12,5,40,23,4,SP98,0,0,0,10,0,13,1
11,5,43,23,0,SP98,0,0,0,9,0,12,1
12,5,58,23,2,SP98,0,0,0,10,0,13,1
24,4,55,23,3,SP98,0,0,0,8,0,11,0
14,5,24,23,8,SP98,0,0,0,10,0,13,0
11,4,38,23,0,SP98,0,1,0,8,0,11,0
12,6,57,23,0,SP98,0,1,0,11,0,15,1
24,5,56,25,1,SP98,0,0,0,9,0,13,0
6,4,46,24,2,SP98,0,0,0,7,1,10,1
17,5,37,21,1,SP98,0,0,0,10,0,13,0
11,4,44,21,-3,SP98,0,0,0,7,0,10,0
15,5,46,21,5,SP98,0,0,0,10,0,13,0
5,6,39,21,4,SP98,0,0,0,11,2,15,3
16,4,33,21,6,SP98,0,0,0,8,0,10,0
11,4,43,21,3,SP98,0,0,0,8,0,10,0
4,6,26,21,5,SP98,0,0,0,10,2,14,3
17,5,30,21,5,SP98,0,0,0,9,0,12,0
23,6,25,21,5,SP98,0,1,0,10,0,14,0
11,4,38,21,5,SP98,0,1,0,8,0,10,0
12,6,61,21,10,SP98,0,1,0,10,0,14,1
16,5,24,21,7,E10,0,1,0,9,0,12,0
11,4,40,21,10,E10,0,1,0,7,0,10,0
12,5,58,21,13,E10,0,0,0,9,0,12,1
12,4,49,21,17,E10,0,0,0,7,0,10,0
7,5,25,21,17,E10,0,0,0,8,1,12,1
11,4,37,21,10,E10,0,0,0,7,0,9,0
20,4,41,21,18,E10,0,0,0,7,0,10,0
20,4,45,21,10,E10,0,0,0,7,0,10,0
1,10,14,21,10,E10,0,1,0,18,10,25,14
35,4,45,21,12,E10,0,0,0,8,0,11,0
36,4,52,21,5,E10,0,0,0,8,0,11,0
16,4,46,21,8,E10,0,0,0,6,0,9,0
9,5,28,21,9,E10,0,0,0,8,0,11,1
22,4,61,21,7,E10,0,1,0,7,0,10,0
17,5,61,21,6,E10,1,1,0,8,0,11,0
11,4,37,21,7,E10,0,0,0,7,0,10,0
36,5,80,21,7,E10,0,1,0,8,0,12,0
44,4,62,21,8,E10,0,0,0,8,0,11,0
11,4,34,21,9,E10,0,1,0,7,0,9,0
21,5,44,21,9,E10,0,1,0,9,0,12,0
39,5,60,21,9,E10,0,1,0,9,0,12,0
5,8,39,21,4,E10,0,0,0,13,2,18,3
26,4,38,21,7,E10,0,0,0,8,0,11,0
53,5,71,21,2,E10,0,0,0,8,0,11,0
18,4,53,21,2,E10,0,0,0,7,0,10,0
43,5,80,21,3,E10,0,0,0,8,0,11,0
6,6,26,21,5,E10,0,0,0,10,1,14,2
16,4,49,21,5,E10,0,0,0,8,0,11,0
12,6,40,21,6,E10,0,0,0,10,0,14,1
21,4,36,21,8,E10,0,0,0,7,0,10,0
21,4,43,21,7,E10,0,0,0,8,0,11,0
22,4,55,21,6,E10,0,0,0,8,0,11,0
44,4,38,21,8,E10,0,0,0,8,0,11,0
35,4,51,21,6,E10,0,0,0,7,0,10,0
11,4,44,21,0,E10,0,0,0,8,0,11,0
26,4,42,21,6,E10,0,0,0,8,0,11,0
40,4,44,21,3,E10,0,0,0,7,0,10,0
12,5,38,21,-5,E10,0,0,0,9,0,12,1
14,5,47,21,-3,E10,0,0,0,9,0,12,0
58,4,75,21,0,E10,0,0,0,8,0,11,0
16,5,29,21,0,E10,0,0,0,8,0,12,0
12,4,50,22,0,E10,0,0,0,8,0,11,0
12,7,52,22,0,E10,1,1,0,12,0,16,1
12,5,51,22,1,E10,0,0,0,8,0,12,0
31,4,59,22,3,E10,0,0,0,8,0,11,0
12,5,55,22,8,E10,0,0,0,8,0,11,0
51,5,73,22,12,E10,0,0,0,8,0,11,0
38,4,44,22,10,E10,0,0,0,7,0,10,0
12,4,41,22,7,E10,0,0,0,8,0,11,0
81,4,69,22,13,E10,0,0,0,7,0,10,0
130,4,85,22,12,E10,0,0,0,7,0,10,0
67,4,67,22,18,E10,0,0,0,7,0,10,0
43,4,44,22,9,SP98,0,1,1,8,0,11,0
12,4,43,22,4,SP98,0,0,0,7,0,10,0
56,4,82,22,13,SP98,0,0,0,8,0,11,0
39,4,61,22,16,SP98,0,0,0,7,0,9,0
11,4,41,21,13,SP98,0,0,0,8,0,10,0
38,4,63,21,14,SP98,0,0,0,8,0,11,0
28,4,54,21,14,SP98,0,0,0,8,0,11,0
2,7,24,21,14,SP98,0,0,0,13,4,17,6
6,5,24,21,13,SP98,0,0,0,10,1,13,2
19,4,43,21,13,SP98,0,0,0,8,0,11,0
22,3,42,21,15,SP98,0,0,0,6,0,9,0
13,4,44,19,18,SP98,0,0,0,8,0,10,0
12,4,33,21,17,SP98,0,0,0,7,0,9,0
8,5,28,22,12,SP98,1,1,0,9,1,12,1
7,4,31,22,12,SP98,1,0,0,8,1,11,1
2,9,26,20,10,SP98,0,0,0,16,6,21,8
4,6,26,20,10,SP98,0,0,0,11,2,15,3
18,3,36,20,19,SP98,0,0,0,6,0,8,0
25,3,39,20,21,SP98,0,0,0,6,0,8,0
1,11,21,20,10,SP98,0,0,0,20,15,27,21
14,5,22,20,12,SP98,0,0,0,9,0,11,0
13,5,31,20,9,SP98,0,0,0,9,0,13,0
6,4,33,20,8,SP98,0,0,0,8,1,11,1
12,4,42,20,13,SP98,0,0,0,8,0,10,0
12,4,33,22,5,SP98,0,0,0,7,0,10,0
15,4,32,22,13,SP98,0,0,0,7,0,9,0
16,4,26,22,11,SP98,0,0,0,7,0,10,0
12,4,22,22,12,SP98,0,0,0,8,0,11,0
19,4,58,22,17,SP98,0,0,1,7,0,10,0
29,4,27,22,12,SP98,0,0,0,7,0,9,0
12,5,32,22,9,SP98,0,0,0,9,0,11,0
12,5,55,22,10,SP98,0,0,0,9,0,12,1
24,4,56,22,11,SP98,0,0,0,7,0,9,0
12,5,34,22,8,SP98,0,1,0,9,0,12,0
11,4,39,22,3,SP98,0,0,0,8,0,10,0
31,4,62,22,11,SP98,0,0,0,8,0,11,0
19,5,53,22,4,SP98,0,1,0,9,0,12,0
13,5,38,22,3,SP98,1,1,0,10,0,13,1
11,4,42,22,2,SP98,0,0,0,8,0,11,0
13,6,32,22,4,SP98,0,0,0,11,0,14,1
11,5,43,22,1,SP98,0,0,0,9,0,11,1
27,5,69,22,8,SP98,0,0,0,9,0,11,0
5,4,38,22,8,SP98,0,0,0,8,1,11,2
19,4,29,22,10,E10,0,0,0,7,0,10,0
12,4,38,22,1,E10,0,0,0,8,0,11,0
25,5,55,22,9,E10,0,0,0,8,0,11,0
14,4,36,22,10,E10,0,0,0,8,0,11,0
11,4,40,22,2,E10,0,0,0,7,0,10,0
16,4,48,22,9,E10,0,0,1,7,0,10,0
12,4,55,22,11,E10,0,0,1,7,0,10,0
17,4,36,22,12,E10,0,0,1,7,0,10,0
9,5,33,22,8,E10,0,1,0,9,1,13,1
12,5,54,22,10,E10,0,1,0,9,0,13,1
13,5,32,22,10,E10,0,0,0,10,0,13,1
11,6,16,22,6,E10,0,1,0,10,0,14,1
13,5,37,22,11,E10,0,1,0,9,0,13,1
12,5,42,22,10,E10,0,0,0,8,0,11,0
12,5,57,22,15,E10,0,0,1,8,0,12,0
12,4,57,22,16,E10,0,0,1,7,0,10,0
31,4,30,22,16,E10,0,0,1,7,0,9,0
11,4,42,22,8,E10,0,0,0,7,0,10,0
24,4,53,22,14,E10,0,0,0,7,0,10,0
17,3,46,22,14,E10,0,0,1,6,0,9,0
2,8,20,22,14,E10,0,0,0,13,6,18,9
11,4,33,22,8,E10,0,0,0,7,0,10,0
7,5,31,22,12,E10,0,0,0,8,1,11,1
12,4,55,22,14,E10,0,0,1,8,0,11,0
2,6,22,22,14,E10,0,0,0,10,5,14,7
14,5,41,22,8,E10,0,0,0,8,0,11,0
25,5,45,22,7,E10,0,0,0,8,0,11,0
24,3,50,21,15,E10,0,0,1,6,0,9,0
11,4,28,22,12,E10,0,0,0,7,0,10,0
4,5,24,22,13,E10,0,0,0,9,2,12,3
4,5,29,22,17,E10,0,0,0,9,2,13,3
4,3,29,22,18,E10,0,0,1,6,1,9,2
16,4,40,22,10,E10,0,0,0,6,0,9,0
22,4,29,21,21,E10,0,0,0,6,0,9,0
16,3,42,21,8,E10,0,0,0,6,0,8,0
15,4,50,22,14,E10,0,0,0,7,0,10,0
16,3,41,22,12,E10,0,0,0,6,0,8,0
4,5,32,22,18,E10,0,0,0,9,2,13,3
101,5,75,22,18,E10,0,0,0,8,0,12,0
93,4,88,23,18,E10,1,0,1,8,0,11,0
25,4,50,22,10,SP98,0,1,0,8,0,11,0
16,4,40,22,10,SP98,0,0,0,7,0,9,0
16,4,32,22,19,SP98,0,0,0,8,0,10,0
16,4,40,22,7,SP98,1,1,0,7,0,10,0
16,4,41,22,11,SP98,0,0,0,8,0,10,0
24,4,26,22,10,SP98,0,0,0,8,0,10,0
16,3,42,22,8,SP98,0,0,0,7,0,9,0
15,4,43,22,16,SP98,0,0,0,8,0,11,0
16,3,40,22,8,SP98,0,0,0,6,0,9,0
32,4,50,22,16,SP98,0,0,0,8,0,10,0
25,4,40,22,14,SP98,0,0,0,7,0,10,0
48,4,44,22,12,SP98,0,0,0,7,0,10,0
37,4,45,22,20,SP98,0,0,1,7,0,9,0
28,3,35,22,15,SP98,0,0,1,7,0,9,0
6,5,30,22,17,SP98,0,0,0,9,1,11,1
7,4,25,22,18,SP98,0,0,1,7,0,9,1
17,4,22,22,25,SP98,0,0,1,7,0,9,0
6,5,43,22,16,SP98,0,0,0,10,1,13,2
14,4,26,22,20,SP98,0,0,0,7,0,9,0
13,4,33,22,18,SP98,0,0,0,8,0,11,0
8,4,26,22,23,SP98,0,0,0,8,1,11,1
12,4,39,22,27,SP98,0,0,1,8,0,10,0
16,4,47,22,14,SP98,0,0,0,7,0,9,0
20,4,38,22,21,SP98,0,0,0,7,0,9,0
16,4,58,22,16,SP98,0,0,0,8,0,10,0
18,4,65,25,18,SP98,1,0,1,7,0,10,0
36,3,54,23,18,SP98,0,0,1,7,0,9,0
19,5,35,22,15,SP98,1,0,1,9,0,11,0
16,4,46,22,5,SP98,1,0,0,7,0,10,0
29,4,32,22,18,SP98,1,0,0,8,0,10,0
16,3,42,22,11,SP98,0,0,0,6,0,9,0
21,5,33,22,10,SP98,0,1,0,9,0,12,0
16,3,40,22,10,SP98,0,0,0,7,0,9,0
11,5,34,22,13,SP98,0,0,0,9,0,12,1
10,4,35,22,16,SP98,0,0,0,7,0,10,0
31,4,33,22,16,SP98,0,0,0,7,0,10,0
18,4,60,22,13,SP98,0,0,0,7,0,9,0
10,4,48,22,17,SP98,0,0,1,8,0,11,1
19,4,56,22,17,SP98,0,0,1,7,0,9,0
11,4,38,22,17,SP98,0,0,0,7,0,10,0
11,5,53,22,15,SP98,0,0,0,9,0,12,1
21,5,51,22,13,SP98,0,0,0,9,0,12,0
32,4,53,22,15,SP98,0,0,0,8,0,11,0
41,4,53,22,14,SP98,0,0,0,8,0,11,0
211,4,80,22,20,SP98,0,0,0,8,0,11,0
216,5,90,22,21,SP98,0,0,1,9,0,12,0
25,3,27,22,27,SP98,0,0,1,6,0,8,0
16,4,52,22,15,SP98,0,1,0,7,0,10,0
25,4,43,22,24,SP98,0,0,0,7,0,9,0
16,4,48,22,15,SP98,0,0,0,7,0,9,0
22,3,29,22,26,SP98,0,0,0,7,0,9,0
16,3,49,22,17,E10,0,0,0,6,0,8,0
15,4,43,22,24,E10,0,0,0,7,0,10,0
16,3,43,22,17,E10,0,0,0,6,0,9,0
15,5,21,22,24,E10,0,0,0,8,0,11,0
18,4,59,22,24,E10,0,0,0,7,0,9,0
39,4,58,22,25,E10,0,0,0,7,0,9,0
21,4,47,25,27,E10,1,0,1,8,0,11,0
4,4,26,25,18,E10,0,0,0,8,1,11,2
100,4,87,23,22,E10,0,0,0,8,0,11,0
129,4,58,24,21,E10,1,0,0,7,0,10,0
16,3,43,21,16,E10,0,0,0,6,0,8,0
15,4,50,21,21,E10,0,0,0,7,0,9,0
16,3,45,22,17,E10,0,0,0,6,0,8,0
16,4,41,22,15,E10,0,0,0,7,0,9,0
15,4,45,22,24,E10,0,0,0,7,0,9,0
16,4,43,22,16,E10,0,0,0,6,0,9,0
21,3,37,22,21,E10,0,0,0,6,0,8,0
15,3,47,22,24,E10,0,0,0,6,0,8,0
16,3,42,22,17,E10,0,0,0,6,0,8,0
16,5,30,25,16,E10,1,1,0,8,0,11,0
16,4,42,22,15,E10,0,0,0,6,0,9,0
15,4,40,22,18,E10,0,0,0,8,0,11,0
17,3,35,22,16,E10,0,0,0,6,0,9,0
16,4,50,22,25,E10,0,0,0,7,0,10,0
18,4,46,22,16,SP98,0,0,0,7,0,10,0
16,4,36,22,18,SP98,0,1,0,8,0,11,0
16,4,46,22,17,SP98,0,0,0,7,0,9,0
16,4,35,22,23,SP98,0,0,0,7,0,9,0
16,3,44,22,16,SP98,0,0,0,6,0,8,0
18,4,46,22,23,SP98,0,0,0,7,0,10,0
4,5,23,22,23,SP98,0,0,1,9,2,12,2
17,4,48,22,16,SP98,0,0,0,7,0,10,0
6,5,35,24,18,SP98,0,0,0,9,1,11,1
6,5,33,22,24,SP98,0,0,1,9,1,11,1
17,4,36,22,22,SP98,0,0,0,7,0,10,0
6,4,27,22,17,SP98,0,0,0,8,1,11,1
16,4,45,22,15,SP98,0,0,0,7,0,9,0
15,4,55,22,18,SP98,0,0,0,8,0,11,0
15,4,39,22,23,SP98,0,0,0,7,0,10,0
16,3,35,22,18,SP98,0,0,0,7,0,9,0
15,4,52,22,26,SP98,0,0,0,8,0,10,0
16,4,48,25,30,SP98,1,0,1,7,0,9,0
15,5,48,25,31,SP98,1,0,0,9,0,11,0
16,4,43,22,21,SP98,1,0,0,7,0,9,0
15,4,42,22,30,SP98,0,0,0,8,0,10,0
16,3,43,22,19,SP98,0,0,0,6,0,8,0
20,4,33,22,21,SP98,0,0,0,7,0,9,0
32,3,47,22,26,SP98,0,0,0,7,0,9,0
15,6,16,24,27,SP98,1,0,0,11,0,15,1
28,4,44,25,23,SP98,1,0,0,7,0,9,0
11,3,33,25,19,SP98,0,0,0,6,0,8,0
14,4,36,25,22,SP98,0,0,0,7,0,10,0
16,4,49,22,26,SP98,0,0,1,7,0,9,0
16,4,39,24,17,SP98,1,0,0,7,0,10,0
16,3,44,24,23,SP98,0,0,1,6,0,9,0
8,5,52,24,27,SP98,0,0,0,9,1,11,1
5,3,33,24,28,SP98,0,0,1,6,1,8,1
13,3,33,24,28,SP98,0,0,1,6,0,8,0
16,3,39,24,18,SP98,0,0,0,6,0,8,0
16,4,38,25,31,SP98,1,0,0,7,0,10,0
16,3,45,25,19,SP98,0,0,0,6,0,9,0
15,4,42,25,31,SP98,1,0,0,8,0,11,0
14,5,25,25,30,SP98,1,0,0,9,0,11,0
